Titel,URL,Hash,Revision,Last Modified,Ist Spiegel+,Text-Dateiname,HTML-Dateiname
+»Langeweile wird völlig zu Unrecht gelobt« - Studie der Universität Wien,https://www.spiegel.de/wissenschaft/mensch/langeweile-wird-voellig-zu-unrecht-gelobt-studie-der-universitaet-wien-a-b7a5df22-60cc-4780-a186-25c77e558948,49b540,0,2025-03-20T21:23:00+01:00,True,,+»Langeweile wird völlig zu Unrecht gelobt« - Studie der Universität Wien_49b540.html
Raumfahrt_ Nasa verkündet Entlassungswelle,https://www.spiegel.de/wissenschaft/natur/nasa-verkuendet-entlassungswelle-a-6b5d12c2-7caf-4b38-aef2-4e5a36a55a3e,60cfeb,0,2025-03-12T15:46:00+01:00,False,Raumfahrt_ Nasa verkündet Entlassungswelle_60cfeb.txt,Raumfahrt_ Nasa verkündet Entlassungswelle_60cfeb.html
Leipzig_ Archäologen entdecken rätselhafte Grubenlinien,https://www.spiegel.de/wissenschaft/mensch/leipzig-archaeologen-entdecken-raetselhafte-grubenlinien-a-04f210c1-4932-4dcb-82b7-675642f5ab29,7d2c91,0,2025-04-04T15:24:00+02:00,False,Leipzig_ Archäologen entdecken rätselhafte Grubenlinien_7d2c91.txt,Leipzig_ Archäologen entdecken rätselhafte Grubenlinien_7d2c91.html
Unwetter in den USA_ Meteorologen warnen vor »katastrophalen« Überschwemmungen,https://www.spiegel.de/wissenschaft/natur/unwetter-in-den-usa-meteorologen-warnen-vor-katastrophalen-ueberschwemmungen-a-86b8aa24-19f9-4f17-9a00-b108bfa56a1d,01b083,0,2025-04-04T15:28:00+02:00,False,Unwetter in den USA_ Meteorologen warnen vor »katastrophalen« Überschwemmungen_01b083.txt,Unwetter in den USA_ Meteorologen warnen vor »katastrophalen« Überschwemmungen_01b083.html
Frauen im Beruf_ Warum wir über Menstruation und Wechseljahre sprechen müssen – Podcast,https://www.spiegel.de/wissenschaft/frauen-im-beruf-warum-wir-ueber-menstruation-und-wechseljahre-sprechen-muessen-podcast-a-b6689c01-7397-4586-8207-e02d12bbf2db,de8612,0,2025-04-04T21:53:00+02:00,False,Frauen im Beruf_ Warum wir über Menstruation und Wechseljahre sprechen müssen – Podcast_de8612.txt,Frauen im Beruf_ Warum wir über Menstruation und Wechseljahre sprechen müssen – Podcast_de8612.html
+Berghain in Berlin und die Techno-Szene_ Forscher erklärt das Einlass-Prinzip,https://www.spiegel.de/wissenschaft/mensch/berghain-in-berlin-und-die-techno-szene-forscher-erklaert-das-einlass-prinzip-a-5e3702e0-6fb4-4413-a9eb-85e99b8cae9f,8f1c84,0,2025-03-28T07:14:00+01:00,True,,+Berghain in Berlin und die Techno-Szene_ Forscher erklärt das Einlass-Prinzip_8f1c84.html
Paris_ Abwärme aus U-Bahn-Tunneln könnte Wohnungen heizen,https://www.spiegel.de/wissenschaft/paris-abwaerme-aus-u-bahn-tunneln-koennte-wohnungen-heizen-paris-macht-es-vor-a-42df5d91-2d5c-4e98-ba8a-88e4994d8961,a525de,0,2025-03-09T15:54:00+01:00,False,Paris_ Abwärme aus U-Bahn-Tunneln könnte Wohnungen heizen_a525de.txt,Paris_ Abwärme aus U-Bahn-Tunneln könnte Wohnungen heizen_a525de.html
Christian Drosten würde nicht noch einmal so in der Öffentlichkeit stehen wollen,https://www.spiegel.de/wissenschaft/christian-drosten-wuerde-nicht-noch-einmal-so-in-der-oeffentlichkeit-stehen-wollen-a-c5830d65-55f5-4109-98dc-f03c238d48f5,19fc45,0,2025-03-11T16:17:00+01:00,False,Christian Drosten würde nicht noch einmal so in der Öffentlichkeit stehen wollen_19fc45.txt,Christian Drosten würde nicht noch einmal so in der Öffentlichkeit stehen wollen_19fc45.html
+Corona-Ursprung_ Forderung nach Offenlegung der BND-Erkenntnisse,https://www.spiegel.de/wissenschaft/corona-ursprung-forderung-nach-offenlegung-der-bnd-erkenntnisse-a-2ac095fd-2c57-42fc-a404-6f421e959abc,206f70,0,2025-03-13T18:50:00+01:00,True,,+Corona-Ursprung_ Forderung nach Offenlegung der BND-Erkenntnisse_206f70.html
Donald Trump_ »Wer wird euch heilen_« – US-Forschende protestieren bei Kundgebung in Washington,https://www.spiegel.de/wissenschaft/mensch/donald-trump-wer-wird-euch-heilen-us-forschende-protestieren-bei-kundgebung-in-washington-a-6358b49a-c45f-4c22-b930-94400ec7b2a9,28b917,0,2025-03-08T15:13:00+01:00,False,Donald Trump_ »Wer wird euch heilen_« – US-Forschende protestieren bei Kundgebung in Washington_28b917.txt,Donald Trump_ »Wer wird euch heilen_« – US-Forschende protestieren bei Kundgebung in Washington_28b917.html
+Desy-Chefin Beate Heinemann_ »Wir verlieren immer noch viele talentierte Forscherinnen«,https://www.spiegel.de/wissenschaft/mensch/desy-chefin-beate-heinemann-wir-verlieren-immer-noch-viele-talentierte-forscherinnen-a-bc28c14a-ef63-435a-8ccd-d5a3248b48dd,a90931,0,2025-04-02T17:59:00+02:00,True,,+Desy-Chefin Beate Heinemann_ »Wir verlieren immer noch viele talentierte Forscherinnen«_a90931.html
+Quantencomputing_ Deutschland sucht den Superrechner,https://www.spiegel.de/wissenschaft/technik/quantencomputing-deutschland-sucht-den-superrechner-a-f26661a6-8b75-4cd1-8304-a18e3f570323,e6ccad,0,2025-03-16T06:38:00+01:00,True,,+Quantencomputing_ Deutschland sucht den Superrechner_e6ccad.html
CDU_CSU und SPD in Koalitionsverhandlungen_ Fusionsreaktor-Träume der Union,https://www.spiegel.de/wissenschaft/mensch/cdu-csu-und-spd-in-koalitionsverhandlungen-fusionsreaktor-traeume-der-union-a-38dfd1d6-5ec2-4089-b199-f0a078ccab47,ad12aa,0,2025-03-28T13:00:00+01:00,False,CDU_CSU und SPD in Koalitionsverhandlungen_ Fusionsreaktor-Träume der Union_ad12aa.txt,CDU_CSU und SPD in Koalitionsverhandlungen_ Fusionsreaktor-Träume der Union_ad12aa.html
Sambia_ Fluss im Kupfergürtel »stirbt« über Nacht wegen Säureabfalls aus chinesischer Mine,https://www.spiegel.de/wissenschaft/natur/sambia-fluss-im-kupferguertel-stirbt-ueber-nacht-wegen-saeureabfalls-aus-chinesischer-mine-a-1599dba0-4f26-4bc8-ad7d-67d1b5e1d661,bb2d4a,0,2025-03-16T20:00:00+01:00,False,Sambia_ Fluss im Kupfergürtel »stirbt« über Nacht wegen Säureabfalls aus chinesischer Mine_bb2d4a.txt,Sambia_ Fluss im Kupfergürtel »stirbt« über Nacht wegen Säureabfalls aus chinesischer Mine_bb2d4a.html
"Vogelnester aus Plastikmüll, gesunde Ernährung und Kampfjets mit Schwachstellen – Lese-Empfehlungen",https://www.spiegel.de/wissenschaft/mensch/vogelnester-aus-plastikmuell-gesunde-ernaehrung-und-kampfjets-mit-schwachstellen-lese-empfehlungen-der-woche-a-e3915989-8704-44ac-a273-61e90723cd39,88d622,0,2025-03-15T09:56:00+01:00,False,"Vogelnester aus Plastikmüll, gesunde Ernährung und Kampfjets mit Schwachstellen – Lese-Empfehlungen_88d622.txt","Vogelnester aus Plastikmüll, gesunde Ernährung und Kampfjets mit Schwachstellen – Lese-Empfehlungen_88d622.html"
"+Columbia University, Harvard & Co_ Donald Trump nimmt die Elite-Hochschulen ins Visier",https://www.spiegel.de/wissenschaft/columbia-university-harvard-co-donald-trump-nimmt-die-elite-hochschulen-ins-visier-a-fcfe01d1-1633-4d87-b1a6-511da2694fb4,7fad03,0,2025-03-20T21:07:00+01:00,True,,"+Columbia University, Harvard & Co_ Donald Trump nimmt die Elite-Hochschulen ins Visier_7fad03.html"
+»Spectrum« von Isar Aerospace_ Das bedeutet der erste Test der neuen deutschen Rakete,https://www.spiegel.de/wissenschaft/weltall/spectrum-von-isar-aerospace-das-bedeutet-der-erste-test-der-neuen-deutschen-rakete-a-df5073a4-7f7a-4902-ac4b-c87b9d280948,95653a,0,2025-03-30T14:09:00+02:00,True,,+»Spectrum« von Isar Aerospace_ Das bedeutet der erste Test der neuen deutschen Rakete_95653a.html
Fake News_ Wie Live-Faktenchecks gegen Falschinformationen wirken,https://www.spiegel.de/wissenschaft/mensch/fake-news-wie-live-faktenchecks-gegen-falschinformationen-wirken-a-b096c8d7-3f5a-44a5-a494-4330d4746c5c,fd04bd,0,2025-03-09T16:58:00+01:00,False,Fake News_ Wie Live-Faktenchecks gegen Falschinformationen wirken_fd04bd.txt,Fake News_ Wie Live-Faktenchecks gegen Falschinformationen wirken_fd04bd.html
+»Schinderhannes« Johannes Bückler_ Skelett des legendären Räubers identifiziert,https://www.spiegel.de/wissenschaft/mensch/schinderhannes-johannes-bueckler-skelett-des-legendaeren-raeubers-identifiziert-a-c6c29a64-fb95-4fe8-ab7a-b50480417a86,5e4cb4,0,2025-03-27T17:12:00+01:00,True,,+»Schinderhannes« Johannes Bückler_ Skelett des legendären Räubers identifiziert_5e4cb4.html
Corona_ Rätsel um Pim-Syndrom bei Kindern wohl gelöst,https://www.spiegel.de/wissenschaft/mensch/coronavirus-raetsel-um-pims-syndrom-bei-kindern-wohl-geloest-a-1605ffe8-bf1b-4020-b05f-987787ffbb13,73533f,0,2025-03-13T14:20:00+01:00,False,Corona_ Rätsel um Pim-Syndrom bei Kindern wohl gelöst_73533f.txt,Corona_ Rätsel um Pim-Syndrom bei Kindern wohl gelöst_73533f.html
+»Adolescence« bei Netflix_ Incel-Mythos der 80-20-Regel im Faktencheck,https://www.spiegel.de/wissenschaft/mensch/adolescence-bei-netflix-incel-mythos-der-80-20-regel-im-faktencheck-a-17ef8089-d7df-45f5-9f41-d90b0755b264,d6fe9d,0,2025-03-27T16:29:00+01:00,True,,+»Adolescence« bei Netflix_ Incel-Mythos der 80-20-Regel im Faktencheck_d6fe9d.html
Psychologie der Wahlentscheidung_ Wie fiktive Figuren politisch wählen würden,https://www.spiegel.de/wissenschaft/mensch/psychologie-der-wahlentscheidung-wie-fiktive-figuren-politisch-waehlen-wuerden-a-e763e90d-b595-4d9c-9d6f-2b51d50b92d4,f32f07,0,2025-03-17T21:24:00+01:00,False,Psychologie der Wahlentscheidung_ Wie fiktive Figuren politisch wählen würden_f32f07.txt,Psychologie der Wahlentscheidung_ Wie fiktive Figuren politisch wählen würden_f32f07.html
Pakistan_ Seltene Sichtung - Schneeleoparden versetzen Naturschützer in Aufregung,https://www.spiegel.de/wissenschaft/natur/pakistan-vier-schneeleoparden-versetzen-naturschuetzer-in-aufregung-a-35f2a9a7-3395-4dd5-a3d4-3ff022aa96f8,25d980,0,2025-03-18T14:02:00+01:00,False,Pakistan_ Seltene Sichtung - Schneeleoparden versetzen Naturschützer in Aufregung_25d980.txt,Pakistan_ Seltene Sichtung - Schneeleoparden versetzen Naturschützer in Aufregung_25d980.html
Wellensittichen und Menschen_ Gehirne ähnlicher als gedacht,https://www.spiegel.de/wissenschaft/natur/wellensittichen-und-menschen-gehirne-aehnlicher-als-gedacht-a-70307cd5-441f-4ead-882c-bdf932f7a3b4,b9957b,0,2025-03-21T10:25:00+01:00,False,Wellensittichen und Menschen_ Gehirne ähnlicher als gedacht_b9957b.txt,Wellensittichen und Menschen_ Gehirne ähnlicher als gedacht_b9957b.html
SpaceX_ Rabea Rogge als erste deutsche Frau im Weltall - »Früher waren Astronauten absolute Helden«,https://www.spiegel.de/wissenschaft/spacex-rabea-rogge-als-erste-deutsche-frau-im-weltall-frueher-waren-astronauten-absolute-helden-a-f41e4d9d-fe33-4226-8a9e-fdc4f59161cd,c26cb1,0,2025-04-01T16:58:00+02:00,False,SpaceX_ Rabea Rogge als erste deutsche Frau im Weltall - »Früher waren Astronauten absolute Helden«_c26cb1.txt,SpaceX_ Rabea Rogge als erste deutsche Frau im Weltall - »Früher waren Astronauten absolute Helden«_c26cb1.html
ISS_ Gestrandete US-Astronauten bekamen kein Geld für Überstunden,https://www.spiegel.de/wissenschaft/iss-gestrandete-us-astronauten-bekamen-kein-geld-fuer-ueberstunden-a-31598c93-ed3c-4173-807c-9ece33fee613,c45bfd,0,2025-03-25T12:01:00+01:00,False,ISS_ Gestrandete US-Astronauten bekamen kein Geld für Überstunden_c45bfd.txt,ISS_ Gestrandete US-Astronauten bekamen kein Geld für Überstunden_c45bfd.html
+Internationale Raumstation_ Auf der ISS gestrandete Astronauten und die Folgen des verzögerten Rückflugs,https://www.spiegel.de/wissenschaft/weltall/internationale-raumstation-auf-der-iss-gestrandete-astronauten-und-die-folgen-des-verzoegerten-rueckflugs-a-6b4e35ef-13b9-4d6b-90ce-a85a1d30f121,44aa3e,0,2025-03-15T11:19:00+01:00,True,,+Internationale Raumstation_ Auf der ISS gestrandete Astronauten und die Folgen des verzögerten Rückflugs_44aa3e.html
+Klimabericht des Deutschen Wetterdienstes für 2024_ So hart trifft Deutschland die Klimakrise,https://www.spiegel.de/wissenschaft/natur/klimabericht-des-deutschen-wetterdienstes-fuer-2024-so-hart-trifft-deutschland-die-klimakrise-a-f6d5759b-dddb-4b12-8085-ea2bbe831996,5a84f0,0,2025-04-01T15:09:00+02:00,True,,+Klimabericht des Deutschen Wetterdienstes für 2024_ So hart trifft Deutschland die Klimakrise_5a84f0.html
+Patientenverfügung und Vorsorgevollmacht_ Warum sie so wichtig sind,https://www.spiegel.de/wissenschaft/medizin/patientenverfuegung-und-vorsorgevollmacht-warum-sie-so-wichtig-sind-a-f99a25e6-8d97-42d3-8af5-d2cb4cb14714,e3c526,0,2025-03-23T19:05:00+01:00,True,,+Patientenverfügung und Vorsorgevollmacht_ Warum sie so wichtig sind_e3c526.html
+US-Geheimdienstinformationen_ Warum Zieldaten für Raketenwerfer für die Ukraine so wichtig sind,https://www.spiegel.de/wissenschaft/technik/us-geheimdienstinformationen-warum-zieldaten-fuer-raketenwerfer-fuer-die-ukraine-so-wichtig-sind-a-fe18ef39-8273-4ad6-8156-91f1f80a7b52,10b058,0,2025-03-06T17:14:00+01:00,True,,+US-Geheimdienstinformationen_ Warum Zieldaten für Raketenwerfer für die Ukraine so wichtig sind_10b058.html
Italien_ Mutmaßlich russische Drohne überfliegt Forschungszentrum der EU,https://www.spiegel.de/wissenschaft/technik/italien-mutmasslich-russische-drohne-ueberfliegt-forschungszentrum-der-eu-a-b9b3bfe0-c8b3-4494-ab5b-ec8273921048,a2b060,0,2025-03-31T20:40:00+02:00,False,Italien_ Mutmaßlich russische Drohne überfliegt Forschungszentrum der EU_a2b060.txt,Italien_ Mutmaßlich russische Drohne überfliegt Forschungszentrum der EU_a2b060.html
Suni Williams und Butch Wilmore_ Gestrandete Astronauten auf der Rückreise von der ISS,https://www.spiegel.de/wissenschaft/weltall/suni-williams-und-butch-wilmore-gestrandete-astronauten-auf-der-rueckreise-von-der-iss-a-956a6f3a-c89e-4753-811d-97b501842e47,c87d8a,0,2025-03-18T09:11:00+01:00,False,Suni Williams und Butch Wilmore_ Gestrandete Astronauten auf der Rückreise von der ISS_c87d8a.txt,Suni Williams und Butch Wilmore_ Gestrandete Astronauten auf der Rückreise von der ISS_c87d8a.html
Rabea Rogge als erste deutsche Frau ins All gestartet – für SpaceX-Raumfahrt-Mission »Fram2«,https://www.spiegel.de/wissenschaft/weltall/rabea-rogge-als-erste-deutsche-frau-ins-all-gestartet-fuer-spacex-raumfahrt-mission-fram2-a-db6adc75-034b-4162-859b-a6910eb6a7b2,5ec351,0,2025-04-01T10:01:00+02:00,False,Rabea Rogge als erste deutsche Frau ins All gestartet – für SpaceX-Raumfahrt-Mission »Fram2«_5ec351.txt,Rabea Rogge als erste deutsche Frau ins All gestartet – für SpaceX-Raumfahrt-Mission »Fram2«_5ec351.html
+Grundgesetzänderung im Bundestag_ Auch Klimapolitik ist Sicherheitspolitik,https://www.spiegel.de/wissenschaft/vor-der-abstimmung-zur-grundgesetzaenderung-auch-klimapolitik-ist-sicherheitspolitik-a-39402d94-8d74-4c3b-a43a-9db9b4bc96a3,63b217,0,2025-03-18T11:38:00+01:00,True,,+Grundgesetzänderung im Bundestag_ Auch Klimapolitik ist Sicherheitspolitik_63b217.html
Bestatter_ Warum diese Ausbildung gerade bei jungen Frauen boomt - Podcast,https://www.spiegel.de/wissenschaft/bestatter-warum-diese-ausbildung-gerade-bei-jungen-frauen-boomt-podcast-a-790cf2fb-9870-4f09-ad02-4b6a6b3a2e2d,79cc18,0,2025-03-25T18:04:00+01:00,False,Bestatter_ Warum diese Ausbildung gerade bei jungen Frauen boomt - Podcast_79cc18.txt,Bestatter_ Warum diese Ausbildung gerade bei jungen Frauen boomt - Podcast_79cc18.html
Trennungen_ Warum die Paartherapie in vielen kriselnden Beziehungen zu spät kommt,https://www.spiegel.de/wissenschaft/mensch/paare-brechen-oft-schon-ein-bis-zwei-jahre-vor-der-trennung-miteinander-a-b3e2988a-6fb0-4755-8133-5b5a30b01058,bf6616,0,2025-03-26T18:06:00+01:00,False,Trennungen_ Warum die Paartherapie in vielen kriselnden Beziehungen zu spät kommt_bf6616.txt,Trennungen_ Warum die Paartherapie in vielen kriselnden Beziehungen zu spät kommt_bf6616.html
WMO-Bericht_ Menschengemachter Klimawandel erreichte 2024 neuen Höhepunkt,https://www.spiegel.de/wissenschaft/natur/wmo-bericht-2024-zum-klima-klimawandel-durch-menschen-auf-neuem-hoehepunkt-a-96e361e6-1ae2-4a42-bc99-c1315cbccc75,e8e495,0,2025-03-19T10:12:00+01:00,False,WMO-Bericht_ Menschengemachter Klimawandel erreichte 2024 neuen Höhepunkt_e8e495.txt,WMO-Bericht_ Menschengemachter Klimawandel erreichte 2024 neuen Höhepunkt_e8e495.html
Primatenforschung in Bolivien_ Warum Affen die besseren Jodler sind,https://www.spiegel.de/wissenschaft/natur/primatenforschung-in-bolivien-suedamerikanische-affen-uebertreffen-menschliche-jodler-im-stimmumfang-a-4f05f050-cbac-46fd-abc5-448f5a9263b1,cb357c,0,2025-04-03T08:21:00+02:00,False,Primatenforschung in Bolivien_ Warum Affen die besseren Jodler sind_cb357c.txt,Primatenforschung in Bolivien_ Warum Affen die besseren Jodler sind_cb357c.html
